number;date;year;session;plot;transect;block;cage;species;invasiveness;density;treatment;actual_treatment;failed_exc;survival_detailed;survival;viability;damage;weevil;root_lenght;shoot_lenght;notes
1137;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13SOcontrol;SO;native;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1138;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13SOcontrol;SO;native;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1139;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13SOcontrol;SO;native;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1140;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13SOcontrol;SO;native;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1141;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13SOcontrol;SO;native;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1142;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1143;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1144;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1145;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1146;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1147;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1148;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1149;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1150;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1151;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1152;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1153;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1154;30/06/2022;2022;s1_22;wild_middle;wm1;D13;wm1D13ROcontrol;RO;invasive;13;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1155;30/06/2022;2022;s1_22;wild_middle;wm1;E2;wm1E2SOexclusion;SO;native;2;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;two alive larvae
1156;30/06/2022;2022;s1_22;wild_middle;wm1;E2;wm1E2SOexclusion;SO;native;2;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1157;30/06/2022;2022;s1_22;wild_middle;wm1;E2;wm1E2SOcontrol;SO;native;2;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1158;30/06/2022;2022;s1_22;wild_middle;wm1;E2;wm1E2SOcontrol;SO;native;2;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1159;30/06/2022;2022;s1_22;wild_middle;wm1;E2;wm1E2ROexclusion;RO;invasive;2;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
1160;30/06/2022;2022;s1_22;wild_middle;wm1;E2;wm1E2ROexclusion;RO;invasive;2;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1161;30/06/2022;2022;s1_22;wild_middle;wm1;E2;wm1E2ROcontrol;RO;invasive;2;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1162;30/06/2022;2022;s1_22;wild_middle;wm1;E2;wm1E2ROcontrol;RO;invasive;2;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1163;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4SOexclusion;SO;native;4;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
1164;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4SOexclusion;SO;native;4;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
1165;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4SOexclusion;SO;native;4;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1166;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4SOexclusion;SO;native;4;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1167;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4ROexclusion;RO;invasive;4;exclusion;exclusion;ok;ger_root;germinated;viable;insect;inside_alive;2;NA;rot root
1168;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4ROexclusion;RO;invasive;4;exclusion;exclusion;ok;ger_root;germinated;viable;NA;NA;3;NA;
1169;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4ROexclusion;RO;invasive;4;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
1170;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4ROexclusion;RO;invasive;4;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1171;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4SOcontrol;SO;native;4;control;control;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
1172;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4SOcontrol;SO;native;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
1173;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4SOcontrol;SO;native;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
1174;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4SOcontrol;SO;native;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
1175;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4ROcontrol;RO;invasive;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1176;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4ROcontrol;RO;invasive;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1177;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4ROcontrol;RO;invasive;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1178;30/06/2022;2022;s1_22;wild_middle;wm1;J4;wm1J4ROcontrol;RO;invasive;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1179;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOexclusion;SO;native;7;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
1180;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOexclusion;SO;native;7;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
1181;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOexclusion;SO;native;7;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
1182;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOexclusion;SO;native;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1183;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOexclusion;SO;native;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1184;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOexclusion;SO;native;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1185;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOexclusion;SO;native;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1186;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROexclusion;RO;invasive;7;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1187;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROexclusion;RO;invasive;7;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1188;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROexclusion;RO;invasive;7;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1189;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROexclusion;RO;invasive;7;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1190;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROexclusion;RO;invasive;7;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1191;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROexclusion;RO;invasive;7;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1192;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROexclusion;RO;invasive;7;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1193;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1194;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1195;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1196;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1197;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1198;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1199;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1200;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROcontrol;RO;invasive;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1201;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROcontrol;RO;invasive;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1202;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROcontrol;RO;invasive;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1203;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROcontrol;RO;invasive;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1204;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROcontrol;RO;invasive;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1205;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROcontrol;RO;invasive;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1206;30/06/2022;2022;s1_22;wild_middle;wm1;I7;wm1I7ROcontrol;RO;invasive;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1207;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOexclusion;SO;native;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1208;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOexclusion;SO;native;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1209;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOexclusion;SO;native;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1210;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOexclusion;SO;native;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1211;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOexclusion;SO;native;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1212;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOexclusion;SO;native;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1213;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOexclusion;SO;native;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1214;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOexclusion;SO;native;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1215;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOexclusion;SO;native;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1216;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOexclusion;SO;native;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1217;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOexclusion;SO;native;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1218;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROexclusion;RO;invasive;11;exclusion;control;failed;damaged;damaged;not_viable;insect;inside_alive;NA;NA;# but 10/11 missing
1219;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROexclusion;RO;invasive;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# but 10/11 missing
1220;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROexclusion;RO;invasive;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# but 10/11 missing
1221;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROexclusion;RO;invasive;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# but 10/11 missing
1222;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROexclusion;RO;invasive;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# but 10/11 missing
1223;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROexclusion;RO;invasive;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# but 10/11 missing
1224;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROexclusion;RO;invasive;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# but 10/11 missing
1225;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROexclusion;RO;invasive;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# but 10/11 missing
1226;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROexclusion;RO;invasive;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# but 10/11 missing
1227;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROexclusion;RO;invasive;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# but 10/11 missing
1228;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROexclusion;RO;invasive;11;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# but 10/11 missing
1229;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOcontrol;SO;native;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1230;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOcontrol;SO;native;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1231;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOcontrol;SO;native;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1232;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOcontrol;SO;native;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1233;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOcontrol;SO;native;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1234;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOcontrol;SO;native;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1235;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOcontrol;SO;native;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1236;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOcontrol;SO;native;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1237;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOcontrol;SO;native;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1238;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOcontrol;SO;native;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1239;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11SOcontrol;SO;native;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1240;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROcontrol;RO;invasive;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1241;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROcontrol;RO;invasive;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1242;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROcontrol;RO;invasive;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1243;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROcontrol;RO;invasive;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1244;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROcontrol;RO;invasive;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1245;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROcontrol;RO;invasive;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1246;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROcontrol;RO;invasive;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1247;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROcontrol;RO;invasive;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1248;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROcontrol;RO;invasive;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1249;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROcontrol;RO;invasive;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1250;30/06/2022;2022;s1_22;wild_middle;wm1;H11;wm1H11ROcontrol;RO;invasive;11;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1251;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3SOexclusion;SO;native;3;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1252;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3SOexclusion;SO;native;3;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1253;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3SOexclusion;SO;native;3;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
1254;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3ROexclusion;RO;invasive;3;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
1255;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3ROexclusion;RO;invasive;3;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
1256;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3ROexclusion;RO;invasive;3;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
1257;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3SOcontrol;SO;native;3;control;control;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1258;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3SOcontrol;SO;native;3;control;control;ok;damaged;damaged;not_viable;animal;NA;NA;NA;
1259;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3SOcontrol;SO;native;3;control;control;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1260;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3ROcontrol;RO;invasive;3;control;control;ok;ger_root;germinated;viable;NA;NA;0,7;NA;
1261;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3ROcontrol;RO;invasive;3;control;control;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
1262;30/06/2022;2022;s1_22;wild_middle;wm1;G3;wm1G3ROcontrol;RO;invasive;3;control;control;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
1263;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1264;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1265;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1266;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1267;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1268;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1269;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1270;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1271;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1272;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1273;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1274;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1275;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1276;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1277;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOexclusion;SO;native;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1278;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1279;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1280;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1281;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1282;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1283;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1284;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1285;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1286;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1287;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1288;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1289;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1290;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1291;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1292;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15ROexclusion;RO;invasive;15;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
1293;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1294;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1295;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1296;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1297;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1298;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1299;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
1300;30/06/2022;2022;s1_22;wild_middle;wm1;F15;wm1F15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
